index,title,tags,authors,abstract
2510.23607,Concerto: Joint 2D-3D Self-Supervised Learning Emerges Spatial Representations,['cs.CV'],"['Yujia Zhang', 'Xiaoyang Wu', 'Yixing Lao', 'Chengyao Wang', 'Zhuotao Tian', 'Naiyan Wang', 'Hengshuang Zhao']","Humans learn abstract concepts through multisensory synergy, and once formed, such representations can often be recalled from a single modality. Inspired by this principle, we introduce Concerto, a minimalist simulation of human concept learning for spatial cognition, combining 3D intra-modal self-distillation with 2D-3D cross-modal joint embedding. Despite its simplicity, Concerto learns more coherent and informative spatial features, as demonstrated by zero-shot visualizations. It outperforms both standalone SOTA 2D and 3D self-supervised models by 14.2% and 4.8%, respectively, as well as their feature concatenation, in linear probing for 3D scene perception. With full fine-tuning, Concerto sets new SOTA results across multiple scene understanding benchmarks (e.g., 80.7% mIoU on ScanNet). We further present a variant of Concerto tailored for video-lifted point cloud spatial understanding, and a translator that linearly projects Concerto representations into CLIP's language space, enabling open-world perception. These results highlight that Concerto emerges spatial representations with superior fine-grained geometric and semantic consistency."
2510.23606,Variational Masked Diffusion Models,"['cs.LG', 'cs.AI', 'cs.CL']","['Yichi Zhang', 'Alex Schwing', 'Zhizhen Zhao']","Masked diffusion models have recently emerged as a flexible framework for discrete generative modeling. However, a key limitation of standard masked diffusion is its inability to effectively capture dependencies among tokens that are predicted concurrently, leading to degraded generation quality when dependencies among tokens are important. To explicitly model dependencies among tokens, we propose Variational Masked Diffusion (VMD), a framework that introduces latent variables into the masked diffusion process. Through controlled experiments on synthetic datasets, we demonstrate that VMD successfully learns dependencies that conventional masked diffusion fails to capture. We further validate the effectiveness of our approach on Sudoku puzzles and text datasets, where learning of dependencies among tokens improves global consistency. Across these domains, VMD enhances both generation quality and dependency awareness, highlighting the value of integrating variational inference into masked diffusion. Our code is available at: https://riccizz.github.io/VMD."
2510.23605,"Track, Inpaint, Resplat: Subject-driven 3D and 4D Generation with Progressive Texture Infilling","['cs.CV', 'cs.AI', 'cs.GR', 'cs.LG', 'cs.RO']","['Shuhong Zheng', 'Ashkan Mirzaei', 'Igor Gilitschenski']","Current 3D/4D generation methods are usually optimized for photorealism, efficiency, and aesthetics. However, they often fail to preserve the semantic identity of the subject across different viewpoints. Adapting generation methods with one or few images of a specific subject (also known as Personalization or Subject-driven generation) allows generating visual content that align with the identity of the subject. However, personalized 3D/4D generation is still largely underexplored. In this work, we introduce TIRE (Track, Inpaint, REsplat), a novel method for subject-driven 3D/4D generation. It takes an initial 3D asset produced by an existing 3D generative model as input and uses video tracking to identify the regions that need to be modified. Then, we adopt a subject-driven 2D inpainting model for progressively infilling the identified regions. Finally, we resplat the modified 2D multi-view observations back to 3D while still maintaining consistency. Extensive experiments demonstrate that our approach significantly improves identity preservation in 3D/4D generation compared to state-of-the-art methods. Our project website is available at https://zsh2000.github.io/track-inpaint-resplat.github.io/."
2510.23604,"Solution to a Quantum Impurity Model for Moiré Systems: Fermi Liquid, Pairing, and Pseudogap",['cond-mat.str-el'],"['Yi-Jie Wang', 'Geng-Dong Zhou', 'Hyunsung Jung', 'Seongyeon Youn', 'Seung-Sup B. Lee', 'Zhi-Da Song']","Recent theoretical and experimental studies have revealed the co-existence of heavy and light electrons in magic-angle multilayer graphene, which form a periodic lattice of Anderson impurities hybridizing with Dirac semi-metals. This work demonstrates that nontrivial features -- pairing potential, pseudogap, and continuous quantum phase transitions -- already appear at the single-impurity level, if valley-anisotropic anti-Hund's interactions ($J_S$, $J_D$) are included, favoring either a singlet ($J_S>J_D$) or a valley doublet ($J_D>J_S$) impurity configuration. We derive a complete phase diagram and analytically solve the impurity problem at several fixed points using bosonization and refermionization techniques. When $J_D>J_S,J_D>0$, the valley doublet only couples via pair-hopping processes to the conduction electrons, in sharp contrast to the conventional Kondo scenario. Upon increasing $J_D$, there is a quantum phase transition of the BKT universality class, from a Fermi liquid to an anisotropic doublet phase, the latter exhibiting power-law susceptibilities with non-universal exponents. On the other hand, when $J_S>J_D,J_S>0$, increasing $J_S$ induces a second-order phase transition from Fermi liquid to a local singlet phase, which involves a non-Fermi liquid as an intermediate fixed point. Near the transition towards the anisotropic doublet (local singlet) phase, the renormalized interaction of the Fermi liquid becomes attractive, favoring doublet (singlet) pairing. Based on analytic solutions, we construct ansatz for the impurity spectral function and correlation self-energy, which account for the pseudogap accompanying side peaks, found in recent spectroscopic measurements and a DMFT study. In particular, we obtain a non-analytic V-shaped spectral function with non-universal exponents in the anisotropic doublet phase. All results are further verified by NRG calculations."
2510.23603,PixelRefer: A Unified Framework for Spatio-Temporal Object Referring with Arbitrary Granularity,['cs.CV'],"['Yuqian Yuan', 'Wenqiao Zhang', 'Xin Li', 'Shihao Wang', 'Kehan Li', 'Wentong Li', 'Jun Xiao', 'Lei Zhang', 'Beng Chin Ooi']","Multimodal large language models (MLLMs) have demonstrated strong general-purpose capabilities in open-world visual comprehension. However, most existing MLLMs primarily focus on holistic, scene-level understanding, often overlooking the need for fine-grained, object-centric reasoning. In this paper, we present PixelRefer, a unified region-level MLLM framework that enables advanced fine-grained understanding over user-specified regions across both images and videos. Motivated by the observation that LLM attention predominantly focuses on object-level tokens, we propose a Scale-Adaptive Object Tokenizer (SAOT) to generate compact and semantically rich object representations from free-form regions. Our analysis reveals that global visual tokens contribute mainly in early LLM layers, inspiring the design of PixelRefer-Lite, an efficient variant that employs an Object-Centric Infusion module to pre-fuse global context into object tokens. This yields a lightweight Object-Only Framework that substantially reduces computational cost while maintaining high semantic fidelity. To facilitate fine-grained instruction tuning, we curate PixelRefer-2.2M, a high-quality object-centric instruction dataset. Extensive experiments across a range of benchmarks validate that PixelRefer achieves leading performance with fewer training samples, while PixelRefer-Lite offers competitive accuracy with notable gains in efficiency."
2510.23602,Genuine $C_n$-equivariant $\mathrm{TMF}$,"['math.AT', 'hep-th']","['Ying-Hsuan Lin', 'Akira Tominaga', 'Mayuko Yamashita']","We determine the $\mathrm{TMF}$-module structures of the genuine $C_2$-equivariant $\mathrm{TMF}$ with $\mathrm{RO}(C_2)$-gradings and of the $C_3$-equivariant $\mathrm{TMF}$. Moreover, we propose a general strategy for studying $C_n$-equivariant $\mathrm{TMF}$ via $U(1)$-equivariant $\mathrm{TMF}$ and a duality phenomenon in equivariant $\mathrm{TMF}$."
2510.23601,Alita-G: Self-Evolving Generative Agent for Agent Generation,['cs.AI'],"['Jiahao Qiu', 'Xuan Qi', 'Hongru Wang', 'Xinzhe Juan', 'Yimin Wang', 'Zelin Zhao', 'Jiayi Geng', 'Jiacheng Guo', 'Peihang Li', 'Jingzhe Shi', 'Shilong Liu', 'Mengdi Wang']","Large language models (LLMs) have been shown to perform better when scaffolded into agents with memory, tools, and feedback. Beyond this, self-evolving agents have emerged, but current work largely limits adaptation to prompt rewriting or failure retries. Therefore, we present ALITA-G, a self-evolution framework that transforms a general-purpose agent into a domain expert by systematically generating, abstracting, and curating Model Context Protocol (MCP) tools. In this framework, a generalist agent executes a curated suite of target-domain tasks and synthesizes candidate MCPs from successful trajectories. These are then abstracted to parameterized primitives and consolidated into an MCP Box. At inference time, ALITA-G performs retrieval-augmented MCP selection with the help of each tool's descriptions and use cases, before executing an agent equipped with the MCP Executor. Across several benchmarks GAIA, PathVQA, and Humanity's Last Exam, ALITA-G attains strong gains while reducing computation costs. On GAIA validation, it achieves 83.03% pass@1 and 89.09% pass@3, establishing a new state-of-the-art result while reducing mean tokens per example by approximately 15% relative to a strong baseline agent. ALITA-G thus provides a principled pathway from generalist capability to reusable, domain-specific competence, improving both accuracy and efficiency on complex reasoning tasks."
2510.23600,Coupling-induced universal dynamics in bilayer two-dimensional Bose gases,"['cond-mat.quant-gas', 'physics.atom-ph']","['En Chang', 'Vijay Pal Singh', 'Abel Beregi', 'Erik Rydow', 'Ludwig Mathey', 'Christopher J. Foot', 'Shinichi Sunami']","The emergence of order in many-body systems and the associated self-similar dynamics governed by dynamical scaling laws is a hallmark of universality far from equilibrium. Measuring and classifying such nontrivial behavior for novel symmetry classes remains challenging. Here, we realize a well-controlled interlayer coupling quench in a tunable bilayer two-dimensional Bose gas, driving the system to an ordered phase. We observe robust self-similar dynamics and a universal critical exponent consistent with diffusion-like coarsening, driven by vortex and antivortex annihilation induced by the interlayer coupling. Our results extend the understanding of universal dynamics in many-body systems and provide a robust foundation for quantitative tests of nonequilibrium effective field theories."
2510.23599,The Benjamin-Ono equation with quasi-periodic data,['math.AP'],['Hagen Papenburg'],"We construct local solutions to the Benjamin-Ono equation for quasi-periodic initial data. The solution is unique among limits of smooth solutions and depends continuously on the data. Our result applies to a richer class of quasi-periodic functions than previous theorems. Central to the argument is an a-priori estimate, the proof of which utilizes Strichartz estimates for quasi-periodic functions obtained recently via decoupling, and a quasi-periodic extension of Tao's gauge transform. As a byproduct of our method, we also establish new local wellposedness results in certain anisotropic Sobolev spaces."
2510.23598,HST-COS Transit Spectroscopy of KELT-20b: First Detection of Excess Far-ultraviolet Absorption From an Ultra-hot Jupiter,['astro-ph.EP'],"['Patrick R. Behr', 'Kevin France', 'Luca Fossati', 'Tommi Koskinen', 'Patricio E. Cubillos', 'Arika Egan', 'P. Wilson Cauley']","KELT-20 b is an ultra-hot Jupiter with an equilibrium temperature of $2260$ K orbiting a bright (V =7.6), fast-rotating ($v\sin{i}$=117 km s$^{-1}$) A2 V star. The atmosphere of KELT-20 b has been studied extensively via transmission spectroscopy at optical wavelengths, showing strong hydrogen absorption as well as metals including Na I, Ca II, Fe I, Fe II, Mg I, Si I and Cr II. The atmospheric and ionization conditions of this planet may differ from Jupiter-mass exoplanets due to the relatively weak extreme-ultraviolet radiation from its host star, as the stellar dynamo that generates chromospheric and coronal activity is thought to shut down at spectral types earlier than A4. We present the first spectroscopic observations of KELT-20 b in the far-ultraviolet using the Hubble Space Telescope Cosmic Origins Spectrograph, searching for previously undetected low-ionization and neutral atoms in the upper atmosphere. We find that the FUV transit depth increases with decreasing wavelengths, from $1.88\pm0.04$\% at 1600--1760 Å to $2.28\pm0.04$\% at 1410--1570 Å, yielding planetary radii of $0.1139\pm0.06$ $R_*$ and $0.1222\pm0.07$ $R_*$, respectively. We report tentative detections of Fe II and N I at $2.4σ$ each, and non-detections of C I, S I, Al II, and Si II. We find no evidence for molecular absorption from CO or H$_2$ and no sign of hydrodynamic escape."
