index,title,tags,authors,abstract
2505.24868,Consistent line clustering using geometric hypergraphs,"['math.ST', 'stat.ML']","['Kalle Alaluusua', 'Konstantin Avrachenkov', 'B. R. Vinay Kumar', 'Lasse Leskelä']","Traditional data analysis often represents data as a weighted graph with pairwise similarities, but many problems do not naturally fit this framework. In line clustering, points in a Euclidean space must be grouped so that each cluster is well approximated by a line segment. Since any two points define a line, pairwise similarities fail to capture the structure of the problem, necessitating the use of higher-order interactions modeled by geometric hypergraphs. We encode geometry into a 3-uniform hypergraph by treating sets of three points as hyperedges whenever they are approximately collinear. The resulting hypergraph contains information about the underlying line segments, which can then be extracted using community recovery algorithms. In contrast to classical hypergraph block models, latent geometric constraints in this construction introduce significant dependencies between hyperedges, which restricts the applicability of many standard theoretical tools. We aim to determine the fundamental limits of line clustering and evaluate hypergraph-based line clustering methods. To this end, we derive information-theoretic thresholds for exact and almost exact recovery for data generated from intersecting lines on a plane with additive Gaussian noise. We develop a polynomial-time spectral algorithm and show that it succeeds under noise conditions that match the information-theoretic bounds up to a polylogarithmic factor."
2505.24861,A localized consensus-based sampling algorithm,"['math.NA', 'math.OC']","['Arne Bouillon', 'Alexander Bodard', 'Panagiotis Patrinos', 'Dirk Nuyens', 'Giovanni Samaey']","We develop a novel interacting-particle method for sampling from non-Gaussian distributions. As a first step, we propose a new way to derive the consensus-based sampling (CBS) algorithm, starting from ensemble-preconditioned Langevin diffusions. We approximate the target potential by its Moreau envelope, such that the gradient in the Langevin equation can be replaced by a proximal operator. We then approximate the proximal operator by a weighted mean, and finally assume that the initial and target distributions are Gaussian, resulting in the CBS dynamics. If we keep only those approximations that can be justified in the non-Gaussian setting, the result is a new interacting-particle method for sampling, which we call localized consensus-based sampling. We prove that our algorithm is affine-invariant and exact for Gaussian distributions in the mean-field setting. Numerical tests illustrate that localized CBS compares favorably to alternative methods in terms of affine-invariance and performance on non-Gaussian distributions."
2505.24828,"Coherent structures in long range FPUT lattices, Part I: Solitary Waves","['math.AP', 'math.DS']","['J. Douglas Wright', 'Udoh Akpan']",We consider long range variants of Fermi-Pasta-Ulam-Tsingou lattice and in particular allow for particles to interact over arbitrarily long distances. We develop sufficient conditions which allow for the construction of solitary wave solutions.
2505.24821,Asymptotics for the harmonic descent chain and applications to critical beta-splitting trees,"['math.PR', 'math.CO']","['Anna Brandenberger', 'Byron Chin', 'Elchanan Mossel']","Motivated by the connection to a probabilistic model of phylogenetic trees introduced by Aldous, we study the recursive sequence governed by the rule $x_n = \sum_{i=1}^{n-1} \frac{1}{h_{n-1}(n-i)} x_i$ where $h_{n-1} = \sum_{j=1}^{n-1} 1/j$, known as the harmonic descent chain. While it is known that this sequence converges to an explicit limit $x$, not much is known about the rate of convergence. We first show that a class of recursive sequences including the above are decreasing and use this to bound the rate of convergence. Moreover, for the harmonic descent chain we prove the asymptotic $x_n - x = n^{-γ_* + o(1)}$ for an implicit exponent $γ_*$. As a consequence, we deduce central limit theorems for various statistics of the critical beta-splitting random tree. This answers a number of questions of Aldous, Janson, and Pittel."
2505.24815,Convex Approximations of Random Constrained Markov Decision Processes,"['math.OC', 'eess.SY']","['V Varagapriya', 'Vikas Vikram Singh', 'Abdel Lisser']","Constrained Markov decision processes (CMDPs) are used as a decision-making framework to study the long-run performance of a stochastic system. It is well-known that a stationary optimal policy of a CMDP problem under discounted cost criterion can be obtained by solving a linear programming problem when running costs and transition probabilities are exactly known. In this paper, we consider a discounted cost CMDP problem where the running costs and transition probabilities are defined using random variables. Consequently, both the objective function and constraints become random. We use chance constraints to model these uncertainties and formulate the uncertain CMDP problem as a joint chance-constrained Markov decision process (JCCMDP). Under random running costs, we assume that the dependency among random constraint vectors is driven by a Gumbel-Hougaard copula. Using standard probability inequalities, we construct convex upper bound approximations of the JCCMDP problem under certain conditions on random running costs. In addition, we propose a linear programming problem whose optimal value gives a lower bound to the optimal value of the JCCMDP problem. When both running costs and transition probabilities are random, we define the latter variables as a sum of their means and random perturbations. Under mild conditions on the random perturbations and random running costs, we construct convex upper and lower bound approximations of the JCCMDP problem. We analyse the quality of the derived bounds through numerical experiments on a queueing control problem for random running costs. For the case when both running costs and transition probabilities are random, we choose randomly generated Markov decision problems called Garnets for numerical experiments."
2505.24811,Locally Differentially Private Two-Sample Testing,"['math.ST', 'stat.ME']","['Alexander Kent', 'Thomas B. Berrett', 'Yi Yu']","We consider the problem of two-sample testing under a local differential privacy constraint where a permutation procedure is used to calibrate the tests. We develop testing procedures which are optimal up to logarithmic factors, for general discrete distributions and continuous distributions subject to a smoothness constraint. Both non-interactive and interactive tests are considered, and we show allowing interactivity results in an improvement in the minimax separation rates. Our results show that permutation procedures remain feasible in practice under local privacy constraints, despite the inability to permute the non-private data directly and only the private views. Further, through a refined theoretical analysis of the permutation procedure, we are able to avoid an equal sample size assumption which has been made in the permutation testing literature regardless of the presence of the privacy constraint. Lastly, we conduct numerical experiments which demonstrate the performance of our proposed test and verify the theoretical findings, especially the improved performance enabled by allowing interactivity."
2505.24794,Cardinalities of the total number of independent sets,['math.CO'],"['Benedek Kovács', 'Zoltán Lóránt Nagy']","We study the set of numbers the total number of independent sets can admit in $n$-vertex graphs. In this paper, we prove that the cardinality $\mathcal{N}i(n)$ of this set is very close to $2^n$ in the following sense: $\mathcal{N}i(n)/2^n = O(n^{-1/5})$ while for infinitely many $n$, we have $\log_2(\mathcal{N}i(n)/2^n)\ge -2^{(1+o(1)\sqrt{\log_2 n}}$. This set is also precisely the set of possible values of the independence polynomial $I_G(x)$ at $x=1$ for $n$-vertex graphs $G$. As an application, we address an additive combinatorial problem on subsets of a given vector space that avoid certain intersection patterns with respect to subspaces."
2505.24793,AFIRE: Accurate and Fast Image Reconstruction Algorithm for Geometric-inconsistent Multispectral CT,"['math.NA', 'physics.med-ph']","['Yu Gao', 'Chong Chen']","For nonlinear multispectral computed tomography (CT), accurate and fast image reconstruction is challenging when the scanning geometries under different X-ray energy spectra are inconsistent or mismatched. Motivated by this, we propose an Accurate and Fast Image REconstruction (AFIRE) algorithm to address such problems in the case of mildly full scan. From the continuous (resp. discrete) setting, we discover that the derivative operator (gradient) of the involved nonlinear mapping at some special points, for example, at zero, can be represented as a composition (block multiplication) of a diagonal operator (matrix) composed of X-ray transforms (projection matrices) and a very small-scale matrix. Based on these insights, the AFIRE algorithm is proposed by leveraging the simplified Newton method. Under proper conditions, we establish the convergence theory of the proposed algorithm. Furthermore, numerical experiments are also carried out to verify that the proposed algorithm can accurately and effectively reconstruct the basis images in completely geometric-inconsistent dual-energy CT with noiseless and noisy projection data. Particularly, the proposed algorithm significantly outperforms some state-of-the-art methods in terms of accuracy and efficiency. Finally, the flexibility and extensibility of the proposed algorithm are also demonstrated."
2505.24762,Branched $α$-combinatorial Ricci flows on closed surfaces with Euler characteristic $χ\le 0$,['math.DG'],"['Wenjun Li', 'Rongyuan Liu', 'Guohao Chen', 'Aijin Lin']","In this paper we introduce the branched $α$-flows on closed surfaces with Euler characteristic \(χ\leq 0\). Based on the strict convexity of the branched $α$-potentials, we establish the long time existence and convergence of the solutions to the branched $α$-flows, which generalizes Ge and Xu's main results \cite{2015,2015A} on the $α$-flows. In addtion, we study the prescribed curvature problems under the relaxed precondition $χ(M)\in \mathbb{Z}$ via alternative $α$-flows, establishing admissibility conditions for prescribed curvatures and their exponential convergence to target metrics."
2505.24761,"On Strong Markushevich bases $\{t^{λ_n}\}_{n=1}^{\infty}$ in their closed span in $L^2 (0, 1)$ and characterizing a subspace of $H^2 (\mathbb{D})$","['math.FA', 'math.CV']",['Elias Zikkos'],"Let $Λ=\{λ_n\}_{n=1}^{\infty}$ be a strictly increasing sequence of positive real numbers such that $\sum_{n=1}^{\infty}\frac{1}{λ_n}<\infty$ and $\inf(λ_{n+1}-λ_n)>0$. We investigate properties of the closed span of the system $\{t^{λ_n}\}_{n=1}^{\infty}$ in $L^2 (0,1)$, denoted by $\overline{M_Λ}$, and of the unique biorthogonal family $\{r_n (t)\}_{n=1}^{\infty}$ to the system $\{t^{λ_n}\}_{n=1}^{\infty}$ in $\overline{M_Λ}$. We show that the system $\{t^{λ_n}\}_{n=1}^{\infty}$ is a strong Markushevich basis in $\overline{M_Λ}$ and we obtain a series representation for functions in $\overline{M_Λ}$. We also construct a general class of operators on $\overline{M_Λ}$ that admit spectral synthesis. In particular, for all $ρ\in (0,1)$ the operator $T_ρ(f)=f(ρx)$ on $\overline{M_Λ}$ admits spectral synthesis. In addition, we characterize a certain subspace of the classical Hardy space $H^2 (\mathbb{D})$. Under the extra assumption that $Λ\subset\mathbb{N}$, let $H^2(\mathbb{D}, Λ)$ consist of functions $f$ in $H^2(\mathbb{D})$ so that the Fourier coefficients $c_n$ of the boundary function $f(e^{iθ})$ vanish for all $n\notin Λ$. We prove that $f\in H^2(\mathbb{D}, Λ)$ if and only if $f\in\overline{M_Λ}$ and $\sum_{n=1}^{\infty}\left| \langle f, r_n\rangle \right|^2<\infty$, where $\langle f, g\rangle= \int_{0}^{1} f(t)\cdot \overline{g(t)}\, dt$."
