index,title,tags,authors,abstract
2504.21514,Poncelet porism in singular cases,"['math.AG', 'nlin.SI']","['Vladimir Dragovic', 'Milena Radnovic']","The celebrated Poncelet porism is usually studied for a pair of smooth conics that are in a general position. Here we discuss Poncelet porism in the real plane - affine or projective, when that is not the case, i.e. the conics have at least one point of tangency or at least one of the conics is not smooth. In all such cases, we find necessary and sufficient conditions for the existence of an n-gon inscribed in one of the conics and circumscribed about the other."
2504.21513,Internal solitary and cnoidal waves of moderate amplitude in a two-layer fluid: the extended KdV equation approximation,"['physics.flu-dyn', 'nlin.PS']","['Nerijus Sidorovas', 'Dmitri Tseluiko', 'Wooyoung Choi', 'Karima Khusnutdinova']","We consider travelling internal waves in a two-layer fluid with linear shear currents from the viewpoint of the extended Korteweg-de Vries (eKdV) equation derived from a strongly-nonlinear long-wave model. Using an asymptotic Kodama-Fokas-Liu near-identity transformation, we map the eKdV equation to the Gardner equation. This improved Gardner equation has a different cubic nonlinearity coefficient and an additional transport term compared to the frequently used truncated Gardner equation. We then construct approximate solitary and cnoidal wave solutions of the eKdV equation using this mapping and test validity and performance of these approximations, as well as performance of the truncated and improved Gardner and eKdV equations, by comparison with direct numerical simulations of the strongly-nonlinear two-layer long-wave parent system in the absence of currents."
2504.21506,"Multi-lump, lump-kink and interaction of breather with other nonlinear waves of a couple Boussinesq system","['nlin.PS', 'math-ph']","['Snehalata Nasipuri', 'Prasanta Chatterjee']","We investigate the interaction characteristics of nonlinear coherent structures in the couple Boussinesq (CB) system using the Hirota bilinear approach. First, we derive the lump solutions using a positive quadratic polynomial within the Hirota perturbation technique. Next, We study the explicit interactions between lumps and one or two-kink waves, and observe double lump patterns. Furthermore, we discover the interactions of breathers, revealing a diffusion-like behavior. We notice that breather waves can interact with periodic, kink, and bright solitons for specific parameter sets in the CB system. Interactions between two chains of double breathers are also found. We analyze our results using a combination of symbolic computations and graphical representations, providing a deeper understanding of their behavior. This study reveals previously unreported nonlinear dynamics in the CB system."
2504.21359,"Ultra-Discretization of Yang-Baxter Maps, Probability Distributions and Independence Preserving Property","['nlin.SI', 'math-ph', 'math.PR', 'math.QA', 'doi', '10.3842/SIGMA.2025.084']","['Hiroki Kondo', 'Sachiko Nakajima', 'Makiko Sasada']","We study the relationship between Yang-Baxter maps and the independence preserving (IP) property, motivated by their role in integrable systems, from the perspective of ultra-discretization. Yang-Baxter maps satisfy the set-theoretic Yang-Baxter equation, while the IP property ensures independence of transformed random variables. The relationship between these two seemingly unrelated properties has recently started to be studied by Sasada and Uozumi (2024). Ultra-discretization is a concept primarily used in the context of integrable systems and is an area of active research, serving as a method for exploring the connections between different integrable systems. However, there are few studies on how the stationary distribution for integrable systems changes through ultra-discretization. In this paper, we introduce the concept of ultra-discretization for probability distributions, and prove that the properties of being a Yang-Baxter map and having the IP property are both preserved under ultra-discretization. Applying this to quadrirational Yang-Baxter maps, we confirm that their ultra-discrete versions retain these properties, yielding new examples of piecewise linear maps having the IP property. We also explore implications of our results for stationary distributions of integrable systems and pose several open questions."
2504.21352,How one can assess the chaos?,['nlin.CD'],['Marat Akhmet'],"We propose an uncertainty principle for chaos, focusing on two key characteristics: alpha unpredictability and Lorenz sensitivity. This principle outlines a limitation on the relationship between two infinite sequences that underpin these concepts. It is applicable to both deterministic and stochastic dynamics, marking a significant step toward integrating these two fields. Our initial progress in this area was achieved through research on Markov chains utilizing alpha labeling.
  Additionally, we offer suggestions on how this principle can assess the degree of chaos in specific processes. We also outline open questions regarding the relationships among various types of chaos, including a modification of the recurrence theorem."
2504.21315,Long-time asymptotics of the coupled nonlinear Schödinger equation in a weighted Sobolev space,['nlin.SI'],"['Yubin Huang', 'Liming Ling', 'Xiaoen Zhang']","We study the Cauchy problem for the focusing coupled nonlinear Schrödinger (CNLS) equation with initial data $\mathbf{q}_0$ lying in the weighted Sobolev space and the scattering data having $n$ simple zeros. Based on the corresponding $3\times3$ matrix spectral problem, we deduce the Riemann-Hilbert problem (RHP) for CNLS equation through inverse scattering transform. We remove discrete spectrum of initial RHP using Darboux transformations. By applying the nonlinear steepest-descent method for RHP introduced by Deift and Zhou, we compute the long-time asymptotic expansion of the solution $\mathbf{q}(x,t)$ to an (optimal) residual error of order $\mathcal{O}\left(t^{-3 / 4+1/(2p)}\right)$ where $2\le p<\infty$. The leading order term in this expansion is a multi-soliton whose parameters are modulated by soliton-soliton and soliton-radiation interactions. Our work strengthens and extends the earlier work regarding long-time asymptotics for solutions of the nonlinear Schrödinger equation with a delta potential and even initial data by Deift and Park."
2504.21201,General vector auxiliary differential equation finite-difference time-domain method for rotationally symmetric vector wave propagation in nonlinear optics,"['nlin.PS', 'physics.comp-ph', 'doi', '10.1364/OE.571406']","['Caleb J. Grimms', 'Robert D. Nevels']","In this paper the theory and simulation results are presented for 3D vector cylindrical rotationally symmetric electromagnetic wave propagation in an isotropic nonlinear medium using a modified finite-difference time-domain general vector auxiliary differential equation method for nonlinear polarization vectors, the nonlinear dipole moment per unit volume, including both an isotropic part and an anisotropic part. The theory is presented for both the transverse magnetic and transverse electric cases along with the combined equations. The simulation results for transverse electric spatial soliton propagation in BK7, and the simulation results for transverse electric and transverse magnetic spatial soliton propagation in fused silica, assuming a purely isotropic polarization vector, are shown. The simulation results for both transverse magnetic and transverse electric spatial soliton propagation in carbon disulfide, including the anisotropic part of the polarization vector, are also shown."
2504.21094,From NLS type matrix refactorisation problems to set-theoretical solutions of the 2- and 3-simplex equations,"['nlin.SI', 'math-ph']",['Sotiris Konstantinou-Rizos'],"We present a method for constructing hierarchies of solutions to $n$-simplex equations by variating the spectral parameter in their Lax representation. We use this method to derive new solutions to the set-theoretical 2- and 3-simplex equations which are related to the Adler map and Nonlinear Schrödinger (NLS) type equations. Moreover, we prove that some of the derived Yang--Baxter maps are completely integrable."
2504.20980,Jekyll-and-Hyde Tipping Point in an AI's Behavior,"['cs.AI', 'cs.CY', 'nlin.AO', 'physics.comp-ph', 'physics.soc-ph']","['Neil F. Johnson', 'Frank Yingjie Huo']","Trust in AI is undermined by the fact that there is no science that predicts -- or that can explain to the public -- when an LLM's output (e.g. ChatGPT) is likely to tip mid-response to become wrong, misleading, irrelevant or dangerous. With deaths and trauma already being blamed on LLMs, this uncertainty is even pushing people to treat their 'pet' LLM more politely to 'dissuade' it (or its future Artificial General Intelligence offspring) from suddenly turning on them. Here we address this acute need by deriving from first principles an exact formula for when a Jekyll-and-Hyde tipping point occurs at LLMs' most basic level. Requiring only secondary school mathematics, it shows the cause to be the AI's attention spreading so thin it suddenly snaps. This exact formula provides quantitative predictions for how the tipping-point can be delayed or prevented by changing the prompt and the AI's training. Tailored generalizations will provide policymakers and the public with a firm platform for discussing any of AI's broader uses and risks, e.g. as a personal counselor, medical advisor, decision-maker for when to use force in a conflict situation. It also meets the need for clear and transparent answers to questions like ''should I be polite to my LLM?''"
2504.20858,Chaos Meets Attention: Transformers for Large-Scale Dynamical Prediction,['nlin.CD'],"['Yi He', 'Yiming Yang', 'Xiaoyuan Cheng', 'Hai Wang', 'Xiao Xue', 'Boli Chen', 'Yukun Hu']","Generating long-term trajectories of dissipative chaotic systems autoregressively is a highly challenging task. The inherent positive Lyapunov exponents amplify prediction errors over time. Many chaotic systems possess a crucial property - ergodicity on their attractors, which makes long-term prediction possible. State-of-the-art methods address ergodicity by preserving statistical properties using optimal transport techniques. However, these methods face scalability challenges due to the curse of dimensionality when matching distributions. To overcome this bottleneck, we propose a scalable transformer-based framework capable of stably generating long-term high-dimensional and high-resolution chaotic dynamics while preserving ergodicity. Our method is grounded in a physical perspective, revisiting the Von Neumann mean ergodic theorem to ensure the preservation of long-term statistics in the $\mathcal{L}^2$ space. We introduce novel modifications to the attention mechanism, making the transformer architecture well-suited for learning large-scale chaotic systems. Compared to operator-based and transformer-based methods, our model achieves better performances across five metrics, from short-term prediction accuracy to long-term statistics. In addition to our methodological contributions, we introduce a new chaotic system benchmark: a machine learning dataset of 140$k$ snapshots of turbulent channel flow along with various evaluation metrics for both short- and long-term performances, which is well-suited for machine learning research on chaotic systems."
